Num_Acc;luminosite
200500000001;3
200500000002;1
200500000003;3
200500000004;1
200500000005;3
200500000006;1
200500000007;1
200500000008;5
200500000009;1
200500000010;3
200500000011;3
200500000012;5
200500000013;1
200500000014;5
200500000015;5
200500000016;3
200500000017;5
200500000018;3
200500000019;1
200500000020;5
200500000021;1
200500000022;3
200500000023;5
200500000024;1
200500000025;1
200500000026;1
200500000027;1
200500000028;3
200500000029;3
200500000030;5
200500000031;1
200500000032;1
200500000033;3
200500000034;1
200500000035;5
200500000036;1
200500000037;3
200500000038;5
200500000039;3
200500000040;1
200500000041;1
200500000042;3
200500000043;3
200500000044;4
200500000045;5
200500000046;1
200500000047;1
200500000048;2
200500000049;3
200500000050;3
200500000051;1
200500000052;3
200500000053;1
200500000054;2
200500000055;2
200500000056;3
200500000057;2
200500000058;1
200500000059;3
200500000060;3
200500000061;1
200500000062;5
200500000063;1
200500000064;2
200500000065;1
200500000066;3
200500000067;1
200500000068;3
200500000069;2
200500000070;5
200500000071;1
200500000072;1
200500000073;3
200500000074;1
200500000075;3
200500000076;3
200500000077;3
200500000078;1
200500000079;5
200500000080;5
200500000081;5
200500000082;4
200500000083;1
200500000084;1
200500000085;3
200500000086;1
200500000087;1
200500000088;1
200500000089;2
200500000090;1
200500000091;5
200500000092;3
200500000093;1
200500000094;2
200500000095;1
200500000096;5
200500000097;5
200500000098;3
200500000099;3
200500000100;3
200500000101;2
200500000102;3
200500000103;1
200500000104;1
200500000105;2
200500000106;5
200500000107;3
200500000108;2
200500000109;3
200500000110;1
200500000111;1
200500000112;1
200500000113;1
200500000114;3
200500000115;5
200500000116;1
200500000117;1
200500000118;2
200500000119;5
200500000120;3
200500000121;3
200500000122;1
200500000123;3
200500000124;1
200500000125;1
200500000126;3
200500000127;1
200500000128;3
200500000129;1
200500000130;1
200500000131;1
200500000132;3
200500000133;3
200500000134;5
200500000135;3
200500000136;5
200500000137;2
200500000138;3
200500000139;3
200500000140;1
200500000141;1
200500000142;3
200500000143;5
200500000144;1
200500000145;1
200500000146;1
200500000147;5
200500000148;2
200500000149;1
200500000150;1
200500000151;1
200500000152;5
200500000153;1
200500000154;3
200500000155;1
200500000156;1
200500000157;5
200500000158;1
200500000159;3
200500000160;1
200500000161;2
200500000162;1
200500000163;1
200500000164;1
200500000165;3
200500000166;3
200500000167;1
200500000168;1
200500000169;4
200500000170;3
200500000171;1
200500000172;1
200500000173;1
200500000174;3
200500000175;1
200500000176;1
200500000177;1
200500000178;3
200500000179;1
200500000180;1
200500000181;1
200500000182;5
200500000183;1
200500000184;3
200500000185;5
200500000186;1
200500000187;1
200500000188;1
200500000189;1
200500000190;2
200500000191;3
200500000192;1
200500000193;5
200500000194;5
200500000195;5
200500000196;3
200500000197;3
200500000198;5
200500000199;3
200500000200;3
200500000201;1
200500000202;2
200500000203;1
200500000204;1
200500000205;1
200500000206;3
200500000207;1
200500000208;3
200500000209;1
200500000210;3
200500000211;2
200500000212;3
200500000213;5
200500000214;1
200500000215;1
200500000216;1
200500000217;3
200500000218;1
200500000219;1
200500000220;5
200500000221;1
200500000222;5
200500000223;1
200500000224;5
200500000225;2
200500000226;1
200500000227;1
200500000228;3
200500000229;1
200500000230;1
200500000231;4
200500000232;1
200500000233;3
200500000234;1
200500000235;4
200500000236;2
200500000237;2
200500000238;1
200500000239;5
200500000240;5
200500000241;5
200500000242;3
200500000243;1
200500000244;1
200500000245;1
200500000246;1
200500000247;1
200500000248;3
200500000249;1
200500000250;1
200500000251;5
200500000252;1
200500000253;1
200500000254;3
200500000255;1
200500000256;5
200500000257;1
200500000258;1
200500000259;3
200500000260;1
200500000261;3
200500000262;3
200500000263;1
200500000264;1
200500000265;3
200500000266;4
200500000267;1
200500000268;5
200500000269;2
200500000270;1
200500000271;2
200500000272;1
200500000273;1
200500000274;1
200500000275;1
200500000276;2
200500000277;2
200500000278;1
200500000279;2
200500000280;1
200500000281;3
200500000282;1
200500000283;3
200500000284;1
200500000285;1
200500000286;5
200500000287;1
200500000288;1
200500000289;3
200500000290;3
200500000291;1
200500000292;1
